St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
0,0,1,0,0,0,0,1,0,0,Px,Px,7.6,-7.8,3,7.5,-3.5,-1.1,15.7,259.8178554,30,0.015435818,0
0,1,0,0,0,0,0,1,0,0,Py,Px,9.4,-7.8,2.5,5.5,-4.5,-2.2,11.9,247.9402246,30,0.002912315,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.7,-9.8,4,7,-2.5,-1.2,10.5,226.1058829,12.75202727,0.407392665,1
0,1,0,0,0,1,0,0,0,0,Py,Top,6.4,-5.1,0.5,8,5,-2.7,8.4,276.7191801,30,4.74042E-09,0
1,0,0,0,0,1,0,0,0,0,Top,Top,-4.9,-4.7,2.5,5.5,3.5,-3.2,7.5,234.8813222,30,1.32617E-20,0
0,1,0,0,0,0,1,0,0,0,Py,Py,6.4,-4.7,5.5,6,4,-3.4,10.3,225.4373836,23.73440206,0.131654822,1
1,0,0,0,0,0,0,0,0,1,Top,Nx,-5.3,-4.8,5.5,7,-1.5,-2.6,11.9,223.7802212,30,3.30293E-26,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,6.2,-8.1,3,5.5,2.5,-1.3,5.8,229.0177638,25.00697972,0.108495406,1
0,0,0,1,0,1,0,0,0,0,Ny,Top,4.3,-2.5,3,6.5,-2.5,-1.5,11.4,233.5271827,30,0.02242592,0
1,0,0,0,0,0,0,0,1,0,Top,Ny,-3.1,-6.1,7,6.5,3,-1.1,9.8,232.7783875,30,8.47166E-22,0
1,0,0,0,0,1,0,0,0,0,Top,Top,-1.5,-5.2,1.5,6,-5,-2.5,14.1,266.2091416,30,4.51572E-33,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,6.8,-9.7,0.5,6.5,1.5,-3.5,1.4,277.4015364,30,0.001379981,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,9.7,-5.1,7,5.5,4,-1.3,15,230.5354819,29.72670667,0.043998512,0
0,0,1,0,0,0,1,0,0,0,Px,Py,5.4,-8,4,6,4.5,-2.2,5.6,236.5190975,30,0.024486141,0
0,1,0,0,0,1,0,0,0,0,Py,Top,6.3,-3.4,4.5,7.5,-4,-2.3,13,247.4653623,4.905198522,0.670639092,1
1,0,0,0,0,0,0,0,0,1,Top,Nx,-4.5,-5.8,0.5,5.5,-4.5,-3.4,12,262.8192142,30,1.39917E-34,0
1,0,0,0,0,0,0,0,1,0,Top,Ny,-1.8,-6.4,5.5,7.5,-4.5,-2.1,1.8,226.2257576,30,1.67469E-35,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,5.1,-8.2,4,7.5,-3.5,-1.3,2.4,251.7512469,30,0.052611169,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,5.9,-7.8,2.5,7,3.5,-2.5,12,246.155011,27.53810716,0.080073968,1
0,1,0,0,0,0,0,1,0,0,Py,Px,7.5,-6.5,6,5.5,-2.5,-2.7,9.6,212.0017762,30,0.037904912,0
1,0,0,0,0,0,0,1,0,0,Top,Px,-0.5,-7.9,5.5,8,-3.5,-2.1,14.9,234.948146,30,4.55575E-30,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,7,-5.3,2,6.5,4.5,-3.2,2.2,246.8263611,29.9182065,0.034254177,0
